Katalogy a databáze	katalogy.html		
	Knihovní katalog	http://ckis.cuni.cz/F/?func=find-a&find_code=WRD&request=&filter_request_4=&filter_request_5=PEDFR	
	Knihy		
		nové knihy	nove_knihy/index.html
		vyřazené knihy	odpisy.htm
	Časopisy	periodika.htm	
	Závěrečné práce	kvalifikacni_prace.htm	
	Elektronické informační zdroje	eiz.htm	
Služby	sluzby.html		
	Studovna	studovna.html	
	Výpůjční protokol	vypujcni_protokol.html	
	Meziknihovní výpůjční služba		
	Služby pro handikepované studenty	handi.htm	
Bibliografie	biblio		
O knihovně	informace.htm		
